Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3548708;RMSP (exceto capital);São Bernardo do Campo;70183;3054;;;
3548807;RMSP (exceto capital);São Caetano do Sul;18147;844;;;
3548906;Interior;São Carlos;24666;475;;;
3549003;Interior;São Francisco;259;10;;;
3549102;Interior;São João da Boa Vista;7987;268;;;
3549201;Interior;São João das Duas Pontes;190;6;;;
3549250;Interior;São João de Iracema;164;6;;;
3549300;Interior;São João do Pau d'Alho;166;1;;;
3549409;Interior;São Joaquim da Barra;6180;154;;;
3549508;Interior;São José da Bela Vista;295;15;;;
3549607;Interior;São José do Barreiro;277;4;;;
3549706;Interior;São José do Rio Pardo;3175;76;;;
3549805;Interior;São José do Rio Preto;88926;2627;;;
3549904;Interior;São José dos Campos;86130;1829;;;
3549953;RMSP (exceto capital);São Lourenço da Serra;672;36;;;
3550001;Interior;São Luiz do Paraitinga;76;22;;;
3550100;Interior;São Manuel;5314;144;;;
3550209;Interior;São Miguel Arcanjo;2006;65;;;
3550308;Capital;São Paulo;891362;34976;;;
3550407;Interior;São Pedro;4776;91;;;
3550506;Interior;São Pedro do Turvo;668;11;;;
3550605;Interior;São Roque;6387;95;;;
3550704;Interior;São Sebastião;8109;167;;;
3550803;Interior;São Sebastião da Grama;1110;32;;;
3550902;Interior;São Simão;961;25;;;
3551009;Interior;São Vicente;17828;1142;;;
3551108;Interior;Sarapuí;448;4;;;
3551207;Interior;Sarutaiá;126;19;;;
3551306;Interior;Sebastianópolis do Sul;210;6;;;
3551405;Interior;Serra Azul;1237;15;;;
3551504;Interior;Serrana;4391;93;;;
3551603;Interior;Serra Negra;2877;56;;;
3551702;Interior;Sertãozinho;18328;451;;;
3551801;Interior;Sete Barras;1798;40;;;
3551900;Interior;Severínia;2137;63;;;
3552007;Interior;Silveiras;455;6;;;
3552106;Interior;Socorro;4000;68;;;
3552205;Interior;Sorocaba;70160;2608;;;
3552304;Interior;Sud Mennucci;891;13;;;
3552403;Interior;Sumaré;25316;752;;;
3552502;RMSP (exceto capital);Suzano;21799;867;;;
3552551;Interior;Suzanápolis;348;11;;;
3552601;Interior;Tabapuã;1800;52;;;
3552700;Interior;Tabatinga;1936;53;;;
3552809;RMSP (exceto capital);Taboão da Serra;17719;872;;;
3552908;Interior;Taciba;671;24;;;
